rank,beam_id,position,token_id,token,token_probability,token_log_probability,cumulative_log_probability,cumulative_probability
1,100,1,108,"

",0.5184987126029478,-0.6568177342414856,-0.6568177342414856,0.5184987126029478
1,100,2,258882,<image|>,0.41134605079272907,-0.8883204460144043,-1.54513818025589,0.21328239777033678
1,100,3,258882,<image|>,0.46236211835078334,-0.771406888961792,-2.316545069217682,0.0986137012400273
1,100,4,258882,<image|>,0.31062138735999006,-1.1691805124282837,-3.4857255816459656,0.030631524691880855
1,100,5,108,"

",0.14794429993129657,-1.910919427871704,-5.39664500951767,0.004531759476368538
1,100,6,258882,<image|>,0.19172321736835385,-1.6517025232315063,-7.048347532749176,0.0008688435071489027
1,100,7,108,"

",0.38665083782235915,-0.9502332210540771,-7.998580753803253,0.00033593906997564013
1,100,8,258882,<image|>,0.21124614745527276,-1.5547312498092651,-9.553312003612518,7.096583431206127e-05
1,100,9,108,"

",0.7979357127735827,-0.22572724521160126,-9.77903924882412,5.662617358436658e-05
1,100,10,258882,<image|>,0.39056444119000466,-0.9401623010635376,-10.719201549887657,2.211616984270634e-05
1,100,11,108,"

",0.8674356052071692,-0.14221400022506714,-10.861415550112724,1.9184353172372516e-05
1,100,12,258882,<image|>,0.24992568310382962,-1.3865916728973389,-12.248007223010063,4.794662571510322e-06
1,100,13,108,"

",0.9134293369183709,-0.09054926037788391,-12.338556483387947,4.379585453442005e-06
1,100,14,258882,<image|>,0.2764365409888736,-1.2857739925384521,-13.6243304759264,1.2106774537146952e-06
1,100,15,108,"

",0.9303398102985996,-0.07220537215471268,-13.696535848081112,1.1263414326217212e-06
1,100,16,258882,<image|>,0.35645541292799243,-1.0315461158752441,-14.728081963956356,4.014905004630822e-07
1,100,17,108,"

",0.6631209980658636,-0.4107978045940399,-15.138879768550396,2.662367813810421e-07
1,100,18,258882,<image|>,0.7076917044619323,-0.3457467257976532,-15.48462649434805,1.8841356160600854e-07
1,100,19,108,"

",0.9392940634171196,-0.0626266822218895,-15.547253176569939,1.7697573988379957e-07
1,100,20,258882,<image|>,0.5258109698504592,-0.642813503742218,-16.190066680312157,9.305578542830324e-08
1,100,21,108,"

",0.9515928651691338,-0.04961799830198288,-16.23968467861414,8.85512214762832e-08
1,100,22,258882,<image|>,0.5390486962700657,-0.617949366569519,-16.85763404518366,4.77334204899123e-08
1,100,23,108,"

",0.9617777230682828,-0.0389719121158123,-16.89660595729947,4.590894047304877e-08
1,100,24,258882,<image|>,0.6318542734944105,-0.4590964913368225,-17.355702448636293,2.900776022949637e-08
1,100,25,108,"

",0.9636890840104319,-0.036986563354730606,-17.392689011991024,2.795446188475759e-08
1,100,26,258882,<image|>,0.5811319964882804,-0.5427773594856262,-17.93546637147665,1.6245232245844717e-08
1,100,27,108,"

",0.9595839462189102,-0.04125547781586647,-17.976721849292517,1.558866406571036e-08
1,100,28,258882,<image|>,0.48867143375126093,-0.7160649299621582,-18.692786779254675,7.617734819257444e-09
1,100,29,108,"

",0.9637322657576134,-0.036941755563020706,-18.729728534817696,7.34145683730364e-09
1,100,30,258882,<image|>,0.38081713422040653,-0.9654359817504883,-19.695164516568184,2.7957525537847814e-09
1,100,31,108,"

",0.9612588511773208,-0.0395115502178669,-19.73467606678605,2.68744188802722e-09
1,100,32,258882,<image|>,0.44379754033588326,-0.8123868107795715,-20.547062877565622,1.1926800997021024e-09
1,100,33,108,"

",0.9644805311166474,-0.03616563230752945,-20.583228509873152,1.1503167360129398e-09
1,100,34,258882,<image|>,0.49746152527708254,-0.6982370615005493,-21.2814655713737,5.722383180487521e-10
1,100,35,108,"

",0.9642922742727859,-0.03636084124445915,-21.31782641261816,5.518049891372649e-10
1,100,36,258882,<image|>,0.4819529019166954,-0.7299088835716248,-22.047735296189785,2.659440158068154e-10
1,100,37,108,"

",0.9678082865304429,-0.03272126242518425,-22.08045655861497,2.5738282225101905e-10
1,100,38,258882,<image|>,0.5089615260816845,-0.6753828525543213,-22.75583941116929,1.309979540000896e-10
1,100,39,108,"

",0.9682404826131368,-0.03227479010820389,-22.788114201277494,1.2683752220238026e-10
1,100,40,258882,<image|>,0.5160446912312859,-0.661561906337738,-23.449676107615232,6.54538299814687e-11
1,100,41,108,"

",0.9723704749488695,-0.028018400073051453,-23.477694507688284,6.364537174630328e-11
1,100,42,258882,<image|>,0.434450511323035,-0.8336732387542725,-24.311367746442556,2.7650764298526104e-11
1,100,43,108,"

",0.9725814062460503,-0.027801498770713806,-24.33916924521327,2.68926192252386e-11
1,100,44,258882,<image|>,0.4073769344817111,-0.8980163931846619,-25.237185638397932,1.0955432780161628e-11
1,100,45,108,"

",0.96944975293451,-0.031026633456349373,-25.26821227185428,1.0620741602018322e-11
1,100,46,258882,<image|>,0.4803414811497003,-0.7332580089569092,-26.00147028081119,5.101582752021721e-12
1,100,47,108,"

",0.9613011505052014,-0.039467547088861465,-26.040937827900052,4.904157368915972e-12
1,100,48,258882,<image|>,0.45423955382440656,-0.7891305685043335,-26.830068396404386,2.2276622551410668e-12
1,100,49,108,"

",0.6846211359665227,-0.37888967990875244,-27.208958076313138,1.525104663664423e-12
1,100,50,258882,<image|>,0.4896480784405129,-0.7140683531761169,-27.923026429489255,7.467645679839494e-13
1,100,51,108,"

",0.9679862998597639,-0.032537344843149185,-27.955563774332404,7.228578710291583e-13
1,100,52,258882,<image|>,0.5502084871976699,-0.597458004951477,-28.55302177928388,3.9772253567788155e-13
1,100,53,108,"

",0.967635914873248,-0.03289938345551491,-28.585921162739396,3.848506096763749e-13
1,100,54,258882,<image|>,0.6379190444041103,-0.44954389333724976,-29.035465056076646,2.4550353316309234e-13
1,100,55,108,"

",0.9700256284099847,-0.03043278679251671,-29.065897842869163,2.3814471903340017e-13
1,100,56,258882,<image|>,0.6425017917357031,-0.4423856735229492,-29.508283516392112,1.5300840867135522e-13
1,100,57,108,"

",0.9722799744386783,-0.028111476451158524,-29.53639499284327,1.4876701167188808e-13
1,100,58,258882,<image|>,0.630811009691133,-0.46074897050857544,-29.997143963351846,9.384386884147628e-14
1,100,59,108,"

",0.9790219939428629,-0.02120117098093033,-30.018345134332776,9.187521159249461e-14
1,100,60,258882,<image|>,0.5165296138997446,-0.6606226563453674,-30.678967790678144,4.745626757082859e-14
1,100,61,108,"

",0.9737301129638669,-0.026621105149388313,-30.705588895827532,4.6209596782586416e-14
1,100,62,258882,<image|>,0.5371505079337517,-0.621476948261261,-31.327065844088793,2.4821508383180152e-14
1,100,63,108,"

",0.9673407761974361,-0.03320444002747536,-31.360270284116268,2.4010857185776655e-14
1,100,64,258882,<image|>,0.6236733592078312,-0.4721285104751587,-31.832398794591427,1.4974931958512818e-14
1,100,65,108,"

",0.9650451878530766,-0.0355803519487381,-31.867979146540165,1.4451486024990042e-14
1,100,66,258882,<image|>,0.6600527697491829,-0.4154354929924011,-32.283414639532566,9.538743377786286e-15
1,100,67,108,"

",0.9683516920963592,-0.03215993940830231,-32.31557457894087,9.23685829035229e-15
1,100,68,258882,<image|>,0.6606039480734824,-0.41460078954696655,-32.730175368487835,6.1019050544020015e-15
1,100,69,108,"

",0.9680437167717753,-0.032478030771017075,-32.76265339925885,5.9069108482517945e-15
1,100,70,258882,<image|>,0.670988689010188,-0.3990029990673065,-33.16165639832616,3.96347036616853e-15
1,100,71,108,"

",0.9656015024109996,-0.03500405326485634,-33.196660451591015,3.827132940333807e-15
1,100,72,258882,<image|>,0.678025225811339,-0.38857078552246094,-33.585231237113476,2.5948926760798435e-15
1,100,73,108,"

",0.9686273179631499,-0.03187534585595131,-33.61710658296943,2.5134839332334395e-15
1,100,74,258882,<image|>,0.6637886558361104,-0.4097914695739746,-34.0268980525434,1.6684221215066847e-15
1,100,75,108,"

",0.9713249481162377,-0.029094213619828224,-34.05599226616323,1.6205800306084638e-15
1,100,76,258882,<image|>,0.6301273369920016,-0.4618333578109741,-34.517825623974204,1.0211717790697278e-15
1,100,77,108,"

",0.9744583336260895,-0.025873517617583275,-34.54369914159179,9.95089350178276e-16
1,100,78,258882,<image|>,0.7165918881571715,-0.3332487940788269,-34.876947935670614,7.130729563293436e-16
1,100,79,108,"

",0.9746566955966509,-0.025669977068901062,-34.902617912739515,6.95001331335293e-16
1,100,80,258882,<image|>,0.7167006203232632,-0.33309707045555115,-35.23571498319507,4.981078852934983e-16
1,100,81,258882,<image|>,0.9656183947559454,-0.03498655930161476,-35.27070154249668,4.809821366123864e-16
1,100,82,258882,<image|>,0.9296797222613037,-0.07291513681411743,-35.3436166793108,4.471593391784518e-16
1,100,83,258882,<image|>,0.9953109397231811,-0.004700088407844305,-35.34831676771864,4.450625820837015e-16
1,100,84,258882,<image|>,0.9866285533715523,-0.013461649417877197,-35.36177841713652,4.3911145152105013e-16
1,100,85,258882,<image|>,0.9727406530166995,-0.027637775987386703,-35.38941619312391,4.271415600996971e-16
1,100,86,258882,<image|>,0.8470227125110174,-0.16602776944637299,-35.55544396257028,3.6179860286183323e-16
1,100,87,258882,<image|>,0.8566905901242337,-0.15467846393585205,-35.71012242650613,3.0994945859182716e-16
1,100,88,108,"

",0.37337814868296554,-0.9851635694503784,-36.69528599595651,1.157283550343039e-16
1,100,89,185,<h2>,0.032709624833152116,-3.420085906982422,-40.11537190293893,3.785431075729911e-18
1,100,90,198,<strong>,0.03820078347186609,-3.264899253845215,-43.38027115678415,1.446064328716315e-19
1,100,91,199,<em>,0.0341178295331309,-3.3779351711273193,-46.758206327911466,4.933657626108461e-21
1,100,92,24233,Chapter,0.09455061982622877,-2.3586199283599854,-49.11682625627145,4.664803865589554e-22
1,100,93,236743, ,0.8579959941019643,-0.1531558483839035,-49.269982104655355,4.002383029947195e-22
1,100,94,258882,<image|>,0.5055574382848897,-0.682093620300293,-49.95207572495565,2.0234345116550193e-22
1,100,95,236770,1,0.4466451112023598,-0.8059909343719482,-50.758066659327596,9.037571324688486e-23
1,100,96,208,</em>,0.5737739933250126,-0.555519700050354,-51.31358635937795,5.185523388926136e-23
1,100,97,207,</strong>,0.4175438790719535,-0.8733656406402588,-52.18695200001821,2.165183550830561e-23
1,100,98,108,"

",0.9518719936839855,-0.04932471364736557,-52.236276713665575,2.060977583220857e-23
1,100,99,185,<h2>,0.37506389201538615,-0.9806588888168335,-53.21693560248241,7.72998273719279e-24
1,100,100,198,<strong>,0.5621392425396938,-0.5760056972503662,-53.792941299732774,4.345326640730464e-24
