step,parent_beam_id,beam_id,beam_rank,token_id,token,token_probability,token_log_probability,previous_log_probability,cumulative_log_probability,is_eos,carried_forward,survived,on_final_path
1,0,1,0,107,"
",0.7314074100599206,-0.3127846419811249,0.0,-0.3127846419811249,False,False,True,True
1,0,2,1,108,"

",0.23745321324347615,-1.4377846717834473,0.0,-1.4377846717834473,False,False,True,False
1,0,3,2,35632, Often,0.0031818748775749002,-5.750284671783447,0.0,-5.750284671783447,False,False,False,False
1,0,4,3,106,<|im_end|>,0.0013264027878301795,-6.625284671783447,0.0,-6.625284671783447,True,False,False,False
1,0,5,4,64069, Known,0.0010996265335468784,-6.812784671783447,0.0,-6.812784671783447,False,False,False,False
1,0,6,5,73224, Frequently,0.0010330035298302383,-6.875284671783447,0.0,-6.875284671783447,False,False,False,False
1,0,7,6,110,"



",0.0006669572068297044,-7.312784671783447,0.0,-7.312784671783447,False,False,False,False
1,0,8,7,18692, Sometimes,0.0005529269450420927,-7.500284671783447,0.0,-7.500284671783447,False,False,False,False
1,0,9,8,1700, Con,0.0004045299946585159,-7.812784671783447,0.0,-7.812784671783447,False,False,False,False
1,0,10,9,128563, Substitute,0.0004045299946585159,-7.812784671783447,0.0,-7.812784671783447,False,False,False,False
2,1,11,0,19058,Okay,0.7609919245280706,-0.2731325328350067,-0.3127846419811249,-0.5859171748161316,False,False,True,True
2,1,12,1,262146,</think>,0.09088752166473169,-2.398132562637329,-0.3127846419811249,-2.7109172344207764,False,False,True,False
2,2,13,2,111457,assistant,0.2073231827817204,-1.5734764337539673,-1.4377846717834473,-3.011260986328125,False,False,True,False
2,1,14,3,236776,A,0.0429322252959436,-3.148132562637329,-0.3127846419811249,-3.4609172344207764,False,False,True,False
2,2,15,4,9366,Please,0.08118893459633879,-2.5109763145446777,-1.4377846717834473,-3.948760986328125,False,False,True,False
2,1,16,5,111457,assistant,0.0229799642414059,-3.773132562637329,-0.3127846419811249,-4.085916996002197,False,False,True,False
